;labels;Area;X;Y;XM;YM;Perim.;BX;BY;Width;Height;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity;Esferoide;dia;Diameter;n_diam
21;Esferas_BT474_dia_0_well_1_100X_1_blob_26;585.1991;571.9503;1092.2622;571.9503;1092.2622;89.7588;558.4239;1078.8043;27.1739;27.1739;0.9128;28.9022;832;1589;113.5523;27.0684;1.0276;0.9731;0.965;si;0;27.9853;3.55157851804366
22;Esferas_BT474_dia_0_well_1_100X_1_blob_27;510.4339;342.8729;1166.864;342.8729;1166.864;85.4496;330.163;1153.5326;25.8152;27.1739;0.8785;27.5869;499;1698;99.9262;25.049;1.067;0.9372;0.9457;si;0;26.31795;2.9538449315750825
23;Esferas_BT474_dia_0_well_1_100X_1_blob_28;690.4241;370.0924;1192.9543;370.0924;1192.9543;98.0758;355.2989;1177.9891;29.8913;29.8913;0.902;30.901;531;1738;123.3407;29.8829;1.0198;0.9806;0.9602;si;0;30.39195;4.548908676283927
24;Esferas_BT474_dia_0_well_1_100X_1_blob_29;778.5732;1656.4761;1249.2697;1656.4761;1249.2697;108.8088;1640.625;1233.6957;31.9293;31.9293;0.8264;34.2717;2418;1824;140.6307;31.0862;1.0765;0.9289;0.943;si;0;32.67895;5.655041566184673
25;Esferas_BT474_dia_0_well_2_100X_1_blob_1;390.4404;1527.1747;24.3626;1527.1747;24.3626;71.9992;1516.3043;12.9076;21.7391;22.4185;0.9465;23.7286;2241;52;66.3706;21.7391;1.0437;0.9581;0.9663;si;0;22.73385;1.9039278662383785
26;Esferas_BT474_dia_0_well_2_100X_1_blob_2;289.3689;550.2257;22.7896;550.2257;22.7896;61.9938;540.7609;13.587;19.0217;18.3424;0.9462;20.2669;799;44;39.5597;18.3424;1.0176;0.9827;0.9646;si;0;19.30465;1.1657819216797345
27;Esferas_BT474_dia_0_well_2_100X_1_blob_3;505.3572;1649.6734;26.9633;1649.6734;26.9633;85.2847;1636.5489;14.2663;25.8152;27.1739;0.8731;28.1827;2424;21;105.3763;25.5245;1.0173;0.983;0.9387;si;0;26.8536;3.137899764193272
28;Esferas_BT474_dia_0_well_2_100X_1_blob_4;462.898;666.5110000000002;99.4439;666.5110000000002;99.4439;82.2377;654.8913;86.9565;23.0978;27.1739;0.8601;28.3704;977;128;106.6992;23.0978;1.1381;0.8787;0.9436;si;0;25.7341;2.7615853656935694
29;Esferas_BT474_dia_0_well_2_100X_1_blob_5;292.5995;1229.9742;107.7988;1229.9742;107.7988;63.3525;1220.1087;98.5054;19.7011;18.3424;0.9161;20.6616;1800;148;136.3322;18.3424;1.0588;0.9445;0.9563;si;0;19.502;1.2019017739424378
30;Esferas_BT474_dia_0_well_2_100X_1_blob_6;275.062;1199.3476;119.3327;1199.3476;119.3327;61.3627;1189.538;110.0543;19.7011;18.3424;0.918;20.1183;1751;173;168.3106;18.3424;1.0808;0.9253;0.9453;si;0;19.23035;1.152373030636389
31;Esferas_BT474_dia_0_well_2_100X_1_blob_7;298.5992;777.3414;122.7231;777.3414;122.7231;63.5173;767.663;112.7717;19.0217;19.7011;0.9301;20.9279;1136;168;125.7539;19.0217;1.0564;0.9466;0.9571;si;0;19.9748;1.2914536933113234
32;Esferas_BT474_dia_0_well_2_100X_1_blob_10;247.8327;1239.3853;155.9964;1239.3853;155.9964;58.0825;1230.2989;147.4185;18.3424;17.663;0.9232;18.8756;1812;236;30.2564;17.663;1.0498;0.9525;0.9488;si;0;18.2693;0.9880916791514524
33;Esferas_BT474_dia_0_well_2_100X_1_blob_11;300.4453;1168.1229;162.34799999999996;1168.1229;162.34799999999996;63.5173;1158.288;152.8533;19.7011;19.0217;;20.7951;1708;249;38.3675;19.0217;1.0284;0.9724;0.9588;si;0;19.9084;1.2786173519900716
34;Esferas_BT474_dia_0_well_2_100X_1_blob_12;562.1234;179.7087;192.4127;179.7087;192.4127;87.8373;166.4402;178.6685;26.4946;27.1739;0.9156;27.7537;246;275;158.459;26.4946;1.0072;0.9928;0.9625;si;0;27.12415;3.2337015298765097
35;Esferas_BT474_dia_0_well_2_100X_1_blob_14;323.5209;171.2659;236.8332;171.2659;236.8332;65.8367;161.0054;226.9022;20.3804;19.7011;0.9379;21.4829;243;336;124.6952;19.7011;1.0257;0.975;0.9623;si;0;20.592;1.4149044371711692
36;Esferas_BT474_dia_0_well_2_100X_1_blob_15;404.2858;1576.515;264.4307;1576.515;264.4307;76.8711;1565.2174;252.7174;23.0978;22.4185;0.8597;25.5727;2310;372;129.6107;22.0423;1.0717;0.9331;0.9429;si;0;23.8075;2.1866178994171417
37;Esferas_BT474_dia_0_well_2_100X_1_blob_16;393.671;510.8779;313.3255;510.8779;313.3255;73.7558;499.3207;302.3098;23.0978;21.7391;0.9094;23.5823;739;473;41.4965;21.7391;1.0399;0.9616;0.9563;si;0;22.6607;1.885608311233176
38;Esferas_BT474_dia_0_well_2_100X_1_blob_17;362.7496;1488.1443;353.3974;1488.1443;353.3974;70.4756;1477.5815;342.3913;21.0598;21.7391;0.9178;22.8366;2175;514;157.249;21.0598;1.0451;0.9568;0.9574;si;0;21.9482;1.7132796120857443
39;Esferas_BT474_dia_0_well_2_100X_1_blob_20;515.049;1171.6486;437.8019;1171.6486;437.8019;83.9943;1158.9674;425.2717;25.8152;25.1359;0.9174;26.7977;1708;634;149.5345;25.1359;1.015;0.9852;0.9612;si;0;25.9668;2.837179536173516
40;Esferas_BT474_dia_0_well_2_100X_1_blob_21;264.9087;633.3676;441.569;633.3676;441.569;59.4412;624.3207;432.7446;18.3424;18.3424;0.9422;19.4654;920;657;29.2488;18.2541;1.0349;0.9663;0.9583;si;0;18.85975;1.0870244547276324
41;Esferas_BT474_dia_0_well_2_100X_1_blob_23;302.7528;130.994;453.8447;130.994;453.8447;64.47800000000001;121.6033;443.6141;19.0217;20.3804;0.9151;21.5793;185;682;61.8214;19.0217;1.0803;0.9256;0.9473;si;0;20.3005;1.3556629403332832
42;Esferas_BT474_dia_0_well_2_100X_1_blob_24;304.5989;752.6381;495.0665;752.6381;495.0665;65.0408;742.5272;485.0543;20.3804;19.7011;0.9048;20.7951;1095;737;38.3675;19.7011;1.035;0.9662;0.949;si;0;20.2481;1.3451922325298926
43;Esferas_BT474_dia_0_well_2_100X_1_blob_26;380.2871;1618.2552;532.7456;1618.2552;532.7456;72.3971;1606.6576;522.4185;23.7772;20.3804;0.9118;24.2766;2366;776;162.0721;20.3804;1.1593;0.8626;0.957;si;0;22.3285;1.8038904774637936
44;Esferas_BT474_dia_0_well_2_100X_1_blob_27;327.213;690.0483;544.8825;690.0483;544.8825;68.4859;677.9891;534.6467;22.4185;20.3804;0.8767;22.9173;998;804;11.9761;20.1756;1.0775;0.9281;0.936;si;0;21.54645;1.6209092384309662
45;Esferas_BT474_dia_0_well_2_100X_1_blob_28;911.4891;862.9583;555.1209;862.9583;555.1209;111.9924;846.4674;538.0435;33.9674;33.9674;0.9132;35.0967;1253;798;132.6467;33.9674;1.0085;0.9916;0.971;si;0;34.53205;6.6726539583862925
46;Esferas_BT474_dia_0_well_2_100X_1_blob_30;345.6736;1429.1433;603.2278;1429.1433;603.2278;69.8446;1417.7989;593.0707;22.4185;20.3804;0.8905;23.3956;2089;879;154.179;20.2723;1.13;0.885;0.9493;si;0;21.83395;1.6866635287966858
47;Esferas_BT474_dia_0_well_2_100X_1_blob_31;432.4381;1701.0975;620.8989;1701.0975;620.8989;77.2008;1688.1793;610.0543;25.1359;21.7391;0.9118;26.0377;2485;910;164.87599999999995;21.7391;1.1331;0.8825;0.9605;si;0;23.8884;2.2089846975246017
48;Esferas_BT474_dia_0_well_2_100X_1_blob_33;332.2897;931.5199;679.0402;931.5199;679.0402;68.719;920.5163;668.4783;21.7391;20.3804;0.8842;21.8767;1359;989;143.8418;20.3804;1.0463;0.9558;0.9436;si;0;21.12855;1.5284125688200465
49;Esferas_BT474_dia_0_well_2_100X_1_blob_34;315.6752;1027.9715;694.7215;1027.9715;694.7215;65.6036;1017.663;684.7826;20.3804;20.3804;0.9217;21.59;1505;1009;114.1455;20.1583;1.013;0.9871;0.9513;si;0;20.87415;1.4738657261210757
50;Esferas_BT474_dia_0_well_2_100X_1_blob_35;332.7512;1565.3064;706.0831;1565.3064;706.0831;67.3603;1554.3478;696.3315;21.7391;19.7011;0.9216;22.118;2288;1037;169.3803;19.7011;1.1007;0.9085;0.9556;si;0;20.909550000000007;1.4813769367143137
51;Esferas_BT474_dia_0_well_2_100X_1_blob_36;303.6759;1441.5978;735.1824;1441.5978;735.1824;64.47800000000001;1431.3859;725.5435;20.3804;19.0217;0.9179;21.0707;2107;1078;159.2277;19.0217;1.07;0.9346;0.9529;si;0;20.0462;1.3053521740006755
52;Esferas_BT474_dia_0_well_2_100X_1_blob_37;262.6012;1103.0119;755.7757;1103.0119;755.7757;60.402;1093.75;746.6033;18.3424;18.3424;0.9045;19.3107;1613;1122;39.2894;18.3424;1.0074;0.9927;0.9491;si;0;18.82655;1.08129388262451
53;Esferas_BT474_dia_0_well_2_100X_1_blob_39;346.5966;690.5869;764.245;690.5869;764.245;69.1169;680.0272;753.3967;21.0598;21.0598;0.9117;22.2843;1005;1137;52.4314;20.9173;1.0364;0.9649;0.9567;si;0;21.6008;1.6332062279682416
54;Esferas_BT474_dia_0_well_2_100X_1_blob_40;213.2192;290.3536;773.686;290.3536;773.686;53.114;282.6087;765.625;15.625;16.3043;0.9498;17.9353;422;1151;65.3764;15.625;1.0611;0.9425;0.9615;si;0;16.78015;0.765630165361298
55;Esferas_BT474_dia_0_well_2_100X_1_blob_41;307.8295;1651.0989;787.4726;1651.0989;787.4726;65.0408;1640.625;777.8533;21.0598;19.0217;0.9144;21.7497;2415;1156;165.5297;19.0217;1.1079;0.9026;0.9488;si;0;20.3857;1.372803589743219
56;Esferas_BT474_dia_0_well_2_100X_1_blob_42;342.9045;902.5337;832.8544;902.5337;832.8544;68.321;891.9837;822.0109;21.0598;21.0598;0.9232;21.8767;1319;1213;126.1582;21.0598;1.019;0.9814;0.9575;si;0;21.46825;1.6033245850802822
57;Esferas_BT474_dia_0_well_2_100X_1_blob_43;302.7528;1387.4292;901.2243;1387.4292;901.2243;63.5173;1377.7174;891.3043;19.7011;19.0217;0.943;20.7396;2035;1313;121.6075;19.0217;1.0463;0.9557;0.9612;si;0;19.88065;1.273278068488801
58;Esferas_BT474_dia_0_well_2_100X_1_blob_45;493.3579;1630.3404;929.9646;1630.3404;929.9646;82.8004;1617.5272;917.7989;25.8152;25.1359;0.9043;27.0462;2390;1352;115.2777;24.8711;1.073;0.932;0.9536;si;0;25.95865;2.834508923329045
59;Esferas_BT474_dia_0_well_2_100X_1_blob_48;311.0601;1600.4235;947.4927;1600.4235;947.4927;65.0408;1590.3533;937.5;20.3804;19.7011;0.924;21.0707;2341;1390;159.2277;19.7011;1.0373;0.9641;0.9513;si;0;20.3859;1.3728439950388356
60;Esferas_BT474_dia_0_well_2_100X_1_blob_51;881.9522;1695.9407;989.8711;1695.9407;989.8711;116.165;1677.3098;974.1848;36.0054;31.9293;0.8213;36.584;2469;1462;15.0685;31.9293;1.1009;0.9084;0.9529;si;0;34.25665;6.5142765458030905
61;Esferas_BT474_dia_0_well_2_100X_1_blob_52;299.5222;1659.9341;993.2039;1659.9341;993.2039;63.9153;1650.1359;983.6957;19.7011;19.0217;0.9214;21.8767;2435;1448;126.1582;19.0217;1.1029;0.9067;0.9579;si;0;20.4492;1.3856721467680455
62;Esferas_BT474_dia_0_well_2_100X_1_blob_53;381.6716;216.3444;1008.7186;216.3444;1008.7186;72.5619;205.163;997.962;22.4185;21.7391;0.9109;23.4646;302;1490;22.1094;21.7391;1.0590000000000002;0.9443;0.9594;si;0;22.60185;1.870955615539124
63;Esferas_BT474_dia_0_well_2_100X_1_blob_54;292.5995;1472.6107;1067.6219;1472.6107;1067.6219;64.2449;1462.6359;1057.7446;19.7011;19.7011;0.8909;20.9829;2155;1563;150.9454;19.2149;1.0615;0.942;0.9442;si;0;20.0989;1.3156742900173943
64;Esferas_BT474_dia_0_well_2_100X_1_blob_55;377.518;736.482;1083.6428;736.482;1083.6428;71.0384;725.5435;1072.6902;21.7391;21.7391;0.9401;22.8366;1075;1581;120.3791;21.7391;1.0163;0.984;0.9641;si;0;22.28785;1.7940562209947366
65;Esferas_BT474_dia_0_well_2_100X_1_blob_56;310.5986;680.0489;1088.1643;680.0489;1088.1643;67.7582;670.5163;1076.087;19.7011;21.7391;0.8501;23.1078;995;1584;114.3045;19.7011;1.0349;0.9662;0.9308;si;0;21.40445;1.5890725969311237
66;Esferas_BT474_dia_0_well_2_100X_1_blob_57;300.4453;676.3054;1124.1834;676.3054;1124.1834;64.0801;666.4402;1114.1304;19.7011;19.7011;0.9195;20.7951;983;1646;141.6325;19.6797;1.0372;0.9641;0.9525;si;0;20.2374;1.3430607803892218
67;"Esferoides/""_474BT__dia_0_well_2_100X_1_blob_58";319.3673;360.6385;1137.943;360.6385;1137.943;65.4388;351.2228;1127.7174;19.7011;20.3804;0.9372;21.3211;522;1662;120.6507;19.7011;1.0547;0.9481;0.9618;si;0;20.5111;1.3982936191273383
68;Esferas_BT474_dia_0_well_2_100X_1_blob_59;318.9058;1366.7982;1170.1511;1366.7982;1170.1511;66.0016;1356.6576;1159.6467;20.3804;20.3804;0.9199;21.9083;1997;1716;150.2551;19.6952;1.0948;0.9134;0.9538;si;0;20.80175;1.4585829672509851
69;Esferas_BT474_dia_0_well_2_100X_1_blob_60;371.5183;1394.8846;1174.1523;1394.8846;1174.1523;71.9992;1383.8315;1162.3641;21.7391;22.4185;0.9006;24.1909;2042;1715;128.1572;21.1363;1.1346;0.8814;0.9487;si;0;22.6636;1.886332335283552
70;Esferas_BT474_dia_0_well_2_100X_1_blob_61;295.8301;1135.3338;1214.7963;1135.3338;1214.7963;64.0801;1125.6793;1204.4837;19.0217;20.3804;0.9053;21.9504;1666;1773;111.8014;19.0217;1.1294;0.8854;0.951;si;0;20.48605;1.39317670767843
71;Esferas_BT474_dia_0_well_2_100X_1_blob_62;284.2923;962.0172;1217.9791;962.0172;1217.9791;62.8862;952.4457;1208.5598;19.0217;19.0217;0.9034;20.5383;1403;1785;145.7843;18.7345;1.0586;0.9447;0.9521;si;0;19.6364;1.226922499194164
72;Esferas_BT474_dia_0_well_2_100X_1_blob_63;282.4462;882.686;1231.561;882.686;1231.561;62.5566;873.6413;1221.4674;18.3424;19.7011;0.907;20.2669;1291;1825;50.4403;18.3424;1.0528;0.9498;0.9496;si;0;19.30465;1.1657819216797345
73;Esferas_BT474_dia_0_well_2_100X_1_blob_65;488.2812;1486.04;1286.6912;1486.04;1286.6912;85.2847;1472.8261;1274.4565;26.4946;25.1359;0.8436;29.3931;2169;1881;146.3099;23.5054;1.2153;0.8229;0.9446;si;0;26.44925;2.9982759742514147
74;Esferas_BT474_dia_0_well_1_100X_1_blob_4;902.2588;486.6283;190.3656;486.6283;190.3656;119.9115;466.712;174.5924;42.1196;30.5707;0.7885;43.1854;687;271;160.71;28.4811;1.6471;0.6071;0.9307;no;0;35.83325;7.4557290781024275
75;Esferas_BT474_dia_0_well_1_100X_1_blob_12;1298.2374;1455.1371;496.2918;1455.1371;496.2918;162.3207;1426.6304;474.8641;54.3478;40.7609;0.6192;57.1703;2100;737;20.1576;35.575;1.7158;0.5828;0.8553;no;0;46.37265;16.159103548215903
76;Esferas_BT474_dia_0_well_1_100X_1_blob_18;766.5739;435.002;851.0905;435.002;851.0905;115.7388;423.2337;831.5217;23.7772;40.0815;0.7191;40.4483;635;1224;97.7218;23.2948;1.8484;0.541;0.9182;no;0;31.87155;5.246154477146227
77;Esferas_BT474_dia_0_well_1_100X_1_blob_20;808.5716;1352.6804;921.0658;1352.6804;921.0658;118.0583;1331.5217;908.9674;41.4402;25.1359;0.7290000000000001;42.842;1960;1349;165.3027;24.5739;1.8942;0.5279;0.9243;no;0;33.70795;6.206239670441875
78;Esferas_BT474_dia_0_well_2_100X_1_blob_8;874.1065;1596.3056;145.1846;1596.3056;145.1846;130.8776;1583.5598;123.6413;25.8152;44.1576;0.6413;45.0321;2343;247;78.6901;25.8152;1.9705;0.5075;0.8983;no;0;35.42365;7.202967322143303
79;Esferas_BT474_dia_0_well_2_100X_1_blob_9;633.658;833.4299;143.0176;833.4299;143.0176;109.275;822.0109;125.0;22.4185;36.6848;0.6668;38.2612;1219;184;106.5044;21.5709;1.9266;0.519;0.8994;no;0;29.91605;4.338546645447629
80;Esferas_BT474_dia_0_well_2_100X_1_blob_13;666.887;1174.2607;210.8975;1174.2607;210.8975;113.2828;1154.212;199.0489;40.0815;23.0978;0.653;40.4483;1699;308;172.2782;21.5636;2.0904;0.4784;0.8939;no;0;31.00595;4.830217053851877
81;Esferas_BT474_dia_0_well_2_100X_1_blob_18;815.4943;1193.3898;380.8748;1193.3898;380.8748;119.2804;1177.9891;360.7337;30.5707;40.0815;0.7203;42.0153;1745;589;67.1663;25.113000000000003;1.8069;0.5534;0.909;no;0;33.564150000000005;6.127149538349973
82;Esferas_BT474_dia_0_well_2_100X_1_blob_19;684.4245;1416.6585;409.2773;1416.6585;409.2773;111.5262;1401.4946;391.3043;30.5707;36.0054;0.6915;39.3905;2069;579;122.3196;22.7189;1.8956;0.5275;0.8999;no;0;31.054700000000004;4.8530362390173005
